category,skill,count,total_jobs_in_cat,pct_of_category_jobs
Accounting / Auditing / Taxation,finance,4810,5872,81.9141689373297
Accounting / Auditing / Taxation,accounting,965,5872,16.43392370572207
Accounting / Auditing / Taxation,sap,141,5872,2.4012261580381473
Accounting / Auditing / Taxation,aws,61,5872,1.0388283378746594
Accounting / Auditing / Taxation,logistics,53,5872,0.9025885558583105
Accounting / Auditing / Taxation,sql,32,5872,0.544959128065395
Accounting / Auditing / Taxation,power bi,29,5872,0.4938692098092643
Accounting / Auditing / Taxation,procurement,29,5872,0.4938692098092643
Accounting / Auditing / Taxation,excel,28,5872,0.4768392370572207
Accounting / Auditing / Taxation,oracle,27,5872,0.45980926430517716
Admin / Secretarial,finance,205,406,50.49261083743842
Admin / Secretarial,procurement,41,406,10.098522167487685
Admin / Secretarial,accounting,34,406,8.374384236453201
Admin / Secretarial,aws,29,406,7.142857142857142
Admin / Secretarial,project management,29,406,7.142857142857142
Admin / Secretarial,logistics,28,406,6.896551724137931
Admin / Secretarial,mechanical,11,406,2.70935960591133
Admin / Secretarial,electrical,8,406,1.9704433497536946
Admin / Secretarial,quality assurance,8,406,1.9704433497536946
Admin / Secretarial,salesforce,8,406,1.9704433497536946
Advertising / Media,digital marketing,282,363,77.68595041322314
Advertising / Media,seo,68,363,18.732782369146005
Advertising / Media,finance,17,363,4.683195592286501
Advertising / Media,quality assurance,8,363,2.203856749311295
Advertising / Media,project management,7,363,1.9283746556473829
Advertising / Media,content marketing,6,363,1.6528925619834711
Advertising / Media,salesforce,5,363,1.3774104683195594
Advertising / Media,data science,4,363,1.1019283746556474
Advertising / Media,accounting,3,363,0.8264462809917356
Advertising / Media,data analysis,2,363,0.5509641873278237
Architecture / Interior Design,mechanical,38,134,28.35820895522388
Architecture / Interior Design,electrical,35,134,26.119402985074625
Architecture / Interior Design,civil,30,134,22.388059701492537
Architecture / Interior Design,autocad,15,134,11.194029850746269
Architecture / Interior Design,project management,9,134,6.7164179104477615
Architecture / Interior Design,procurement,4,134,2.9850746268656714
Architecture / Interior Design,r,3,134,2.2388059701492535
Architecture / Interior Design,sap,3,134,2.2388059701492535
Architecture / Interior Design,aws,2,134,1.4925373134328357
