Company,Job Count,Top Skills,Avg Offered Salary
RECRUITPEDIA PTE. LTD.,3128,"finance, mechanical, logistics","$7,071"
RECRUITFLASH PTE. LTD.,1494,"electrical, .net, testing","$6,970"
RECRUIT EXPERT PTE. LTD.,1142,"c++, mechanical, python","$6,598"
THE SUPREME HR ADVISORY PTE. LTD.,944,"finance, mechanical, electrical","$6,757"
PERSOLKELLY SINGAPORE PTE. LTD.,905,"java, finance, sap","$7,932"
RECRUIT EXPRESS PTE LTD,892,"finance, java, devops","$7,447"
ZENITH INFOTECH (S) PTE LTD.,768,"sap, java, .net","$7,456"
ADECCO PERSONNEL PTE LTD,663,"java, devops, sap","$8,770"
RANDSTAD PTE. LIMITED,565,"finance, sap, java","$8,774"
MANPOWER STAFFING SERVICES (SINGAPORE) PTE LTD,528,"sap, java, devops","$7,521"
TIKTOK PTE. LTD.,527,"machine learning, computer vision, nlp","$13,022"
SCIENTEC CONSULTING PTE. LTD.,525,"agile, java, aws","$7,107"
TALENT TRADER GROUP PTE. LTD.,449,"logistics, electrical, finance","$7,023"
TRUST RECRUIT PTE. LTD.,438,"finance, sap, .net","$7,280"
ANRADUS PTE. LTD.,406,"finance, logistics, accounting","$6,319"
HCL SINGAPORE PTE. LTD.,297,"java, .net, sql","$9,817"
FLINTEX CONSULTING PTE. LTD.,295,"logistics, sap, cybersecurity","$7,078"
MICHAEL PAGE INTERNATIONAL PTE LTD,261,"finance, logistics, procurement","$10,073"
NANYANG TECHNOLOGICAL UNIVERSITY,254,"electrical, mechanical, chemical","$7,309"
MORGAN MCKINLEY PTE. LTD.,249,"java, finance, sap","$8,692"
