skill,count_in_high_paying,pct_of_high_paying_jobs,count_in_all_jobs,pct_of_all_jobs,premium_ratio
finance,7403,16.573385869078535,18270,15.902305703766245,1.0422001801382395
java,3914,8.76242500223874,4529,3.9420658200523984,2.2228002783886214
sap,3705,8.29452852153667,5871,5.110149796760352,1.6231478237282002
electrical,3103,6.946807557983344,12247,10.659854294144782,0.6516794100834069
mechanical,2662,5.959523596310558,9449,8.224460131083045,0.7246097009805521
logistics,2081,4.65881615474165,11903,10.360434854511746,0.4496738042528046
devops,1943,4.349870153129758,2219,1.9314294667026433,2.252150662563879
.net,1884,4.217784543744963,2432,2.1168258057777507,1.9925043110457032
procurement,1559,3.4901943225575356,7437,6.473204571368886,0.5391756562112582
accounting,1216,2.7223067968120356,4430,3.8558956906231234,0.7060115250088892
supply chain,1212,2.7133518402435746,3341,2.9080242669010956,0.933056808062688
aws,1135,2.5409689263007076,5889,5.12581709302022,0.495719780902975
civil,1081,2.4200770126264888,3441,2.995064801678142,0.808021586468017
r,954,2.135757141577863,2243,1.9523191950491343,1.0939589934852392
cybersecurity,895,2.003671532193069,1520,1.3230161286110942,1.5144724911982204
python,804,1.799946270260589,1144,0.9957437178494024,1.8076400965381891
chemical,786,1.7596489657025163,3792,3.3005770787455715,0.5331337289572691
digital marketing,770,1.7238291394286738,4424,3.8506732585365,0.44766954339923354
c#,770,1.7238291394286738,1169,1.0175038515436639,1.6941745594509916
machine learning,746,1.67009940001791,802,0.6980650889119063,2.3924694509807685
c++,726,1.6253246171756066,1268,1.1036739809729392,1.4726492109044815
oracle,712,1.5939822691859944,907,0.7894576504278041,2.01908521416218
project management,687,1.5380137906331155,1571,1.3674068013473875,1.1247668134439721
testing,654,1.464135398943315,1476,1.284718293309194,1.1396548228265482
linux,610,1.365630876690248,922,0.802513730644361,1.7016916029508233
sql,551,1.2335452673054537,1052,0.9156664258545204,1.3471557244815235
salesforce,549,1.2290677890212232,611,0.5318176674877491,2.3110698725508887
quality assurance,490,1.0969821796364287,2261,1.9679864913090026,0.5574134703062789
azure,484,1.083549744783738,696,0.6058021220482378,1.788619922822685
servicenow,430,0.9626578311095192,460,0.4003864599744101,2.4043216425726426
scrum,418,0.9357929614041373,497,0.43259145784191694,2.163225705085713
agile,398,0.891018178561834,478,0.4160537562342783,2.1415938811044044
react,352,0.7880361780245365,428,0.3725334888457555,2.115343188249088
etl,290,0.6492343512133967,346,0.301160250328578,2.155777034004507
javascript,224,0.501477567833796,314,0.2733072791999234,1.8348489264604138
sharepoint,210,0.4701352198441837,293,0.2550287668967438,1.843459565620424
power bi,210,0.4701352198441837,313,0.2724368738521529,1.7256666221303012
data science,199,0.445509089280917,273,0.23762065994133466,1.8748752292452482
seo,189,0.4231216978597654,785,0.6832681979998085,0.6192615126803896
microservices,184,0.41192800214918956,191,0.16624742142415724,2.4778008502051434
asp.net,165,0.3693919584490015,240,0.2088972834649096,1.7682946964269723
angular,154,0.34476582788573473,202,0.17582188024963227,1.9608812475229789
computer vision,127,0.2843198710486254,223,0.19410039255281186,1.4648083257805165
ruby,119,0.26640995791170413,119,0.10357823638468436,2.572065012984687
tableau,117,0.2619324796274738,180,0.1566729625986822,1.6718422584400463
ci/cd,116,0.25969374048535865,130,0.11315269521015936,2.295073396201721
golang,115,0.2574550013432435,120,0.1044486417324548,2.4648956374436586
spring,111,0.24850004477478285,148,0.1288199914700276,1.9290487597385153
swift,111,0.24850004477478285,136,0.11837512729678211,2.0992589444213254
nlp,105,0.23506760992209186,108,0.09400377755920933,2.500618762624001
spark,104,0.23282887077997672,141,0.12272715403563439,1.8971259670241665
hadoop,92,0.20596400107459478,103,0.08965175082035703,2.2973784581999146
kubernetes,92,0.20596400107459478,98,0.08529972408150475,2.4145916448427673
excel,81,0.18133787051132802,321,0.27940011663431663,0.6490257509400611
php,70,0.15671173994806126,148,0.1288199914700276,1.2165172358711358
typescript,70,0.15671173994806126,70,0.060928374343931974,2.572065012984687
networking,68,0.15223426166383092,132,0.11489350590570029,1.3250031885072628
node.js,60,0.13432434852690964,71,0.06179877969170243,2.1735760673110027
data warehouse,51,0.1141756962478732,54,0.047001888779604664,2.4291725122633157
